			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
на иждивении отдельных лиц	27280.0	17892.0	9388.0
иной источник	784.0	641.0	143.0
пособие и			
сбережения	119.0	114.0	5.0
доход от сдачи внаем или в аренду имущества	422.0	86.0	336.0
на иждивении отдельных лиц	352041.0	129984.0	222057.0
иной источник	903.0	617.0	286.0
другие сочетания источников средств к существованию	24028.0	18724.0	5304.0
Мужчины, указавшие два источника средств к существованию	661042.0	247561.0	413481.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	233339.0	62354.0	170985.0
стипендию	1115.0	1056.0	59.0
пенсию (кроме пенсии по инвалидности)	26011.0	24244.0	1767.0
пенсию по инвалидности	4465.0	3506.0	959.0
пособие (кроме пособия по безработице)	727.0	594.0	133.0
пособие по безработице	96.0	77.0	19.0
другой вид государственного обеспечения	5070.0	5008.0	62.0
сбережения	734.0	688.0	46.0
доход от сдачи внаем или в аренду имущества	275.0	245.0	30.0
на иждивении отдельных лиц	3120.0	2489.0	631.0
иной источник	3534.0	2700.0	834.0
личное подсобное хозяйство и			
стипендию	456.0	124.0	332.0
пенсию (кроме пенсии по инвалидности)	102251.0	25186.0	77065.0
пенсию по инвалидности	9536.0	1892.0	7644.0
пособие (кроме пособия по безработице)	1349.0	144.0	1205.0
пособие по безработице	1118.0	535.0	583.0
другой вид государственного обеспечения	102.0	27.0	75.0
сбережения	304.0	172.0	132.0
доход от сдачи внаем или в аренду имущества	63.0	20.0	43.0
на иждивении отдельных лиц	28604.0	7784.0	20820.0
иной источник	4463.0	846.0	3617.0
стипендию и			
пенсию	601.0	392.0	209.0
пособие (кроме пособия по безработице)	405.0	282.0	123.0
сбережения	6.0	6.0	-
доход от сдачи внаем или в аренду имущества	4.0	2.0	2.0
на иждивении отдельных лиц	34921.0	27783.0	7138.0
иной источник	97.0	86.0	11.0
пенсию и			
пособие	1836.0	619.0	1217.0
сбережения	315.0	281.0	34.0
доход от сдачи внаем или в аренду имущества	118.0	105.0	13.0
на иждивении отдельных лиц	12396.0	8036.0	4360.0
иной источник	317.0	253.0	64.0
пособие и			
сбережения	35.0	34.0	1.0
доход от сдачи внаем или в аренду имущества	196.0	33.0	163.0
на иждивении отдельных лиц	170263.0	60021.0	110242.0
иной источник	292.0	187.0	105.0
другие сочетания источников средств к существованию	12508.0	9750.0	2758.0
Женщины, указавшие два источника средств к существованию	729346.0	289206.0	440140.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	186928.0	59308.0	127620.0
стипендию	852.0	820.0	32.0
пенсию (кроме пенсии по инвалидности)	30766.0	27880.0	2886.0
пенсию по инвалидности	2916.0	2509.0	407.0
пособие (кроме пособия по безработице)	11513.0	8862.0	2651.0
пособие по безработице	192.0	155.0	37.0
другой вид государственного обеспечения	1018.0	843.0	175.0
сбережения	531.0	498.0	33.0
доход от сдачи внаем или в аренду имущества	267.0	234.0	33.0
на иждивении отдельных лиц	4885.0	4246.0	639.0
иной источник	2493.0	2142.0	351.0
личное подсобное хозяйство и			
стипендию	311.0	102.0	209.0
пенсию (кроме пенсии по инвалидности)	180551.0	43305.0	137246.0
пенсию по инвалидности	5745.0	1355.0	4390.0
пособие (кроме пособия по безработице)	7130.0	704.0	6426.0
пособие по безработице	2108.0	872.0	1236.0
другой вид государственного обеспечения	593.0	104.0	489.0
сбережения	205.0	113.0	92.0
доход от сдачи внаем или в аренду имущества	48.0	24.0	24.0
на иждивении отдельных лиц	37155.0	10626.0	26529.0
