3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
с 1 ребенком	6630.0	14594.0	5430.0	1076.0	114.0	10.0	-	2.2012066365
с 2 детьми	1290.0	4059.0		1132.0	133.0	19.0	6.0	3.14651162791
с 3 и более детьми	213.0	996.0			135.0	39.0	39.0	4.67605633803
в них детей		717.0			405.0	136.0	176.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	35280.0	114671.0		27667.0	6644.0	791.0	178.0	3.25031179138
из них домохозяйства, имеющие детей моложе 18 лет	28014.0	91935.0		21299.0	5783.0	756.0	176.0	3.28175198115
в том числе домохозяйства:								
с 1 ребенком	23171.0	71495.0		21299.0	1773.0	92.0	7.0	3.08553795693
с 2 детьми	4247.0	17254.0			4010.0	213.0	24.0	4.06263244643
с 3 и более детьми	596.0	3186.0				451.0	145.0	5.34563758389
в них детей		1919.0				1353.0	566.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	42058.0	162435.0		17962.0	16131.0	5429.0	2536.0	3.86216653193
из них домохозяйства, имеющие детей моложе 18 лет	32053.0	128890.0		10805.0	13763.0	5065.0	2420.0	4.02115246623
в том числе домохозяйства:								
с 1 ребенком	21549.0	78381.0		10426.0	9040.0	1711.0	372.0	3.63733815954
с 2 детьми	8193.0	36528.0		379.0	4611.0	2507.0	696.0	4.45844013182
с 3 и более детьми	2311.0	13981.0			112.0	847.0	1352.0	6.04976200779
в них детей		7868.0			336.0	2566.0	4966.0	
Прочие домохозяйства	81176.0	190526.0	63982.0	11374.0	4112.0	821.0	887.0	2.34707302651
из них домохозяйства, имеющие детей моложе 18 лет	14097.0	38511.0	8091.0	3687.0	1694.0	336.0	289.0	2.73185784209
в том числе домохозяйства:								
с 1 ребенком	10342.0	25453.0	7043.0	2329.0	762.0	106.0	102.0	2.46112937536
с 2 детьми	2554.0	7526.0	1048.0	929.0	429.0	95.0	53.0	2.94675019577
с 3 и более детьми	1201.0	5532.0		429.0	503.0	135.0	134.0	4.60616153206
в них детей		4687.0		1287.0	1755.0	508.0	1137.0	
Тюменская область								
Все домохозяйства	926786.0	3028827.0	277058.0	304944.0	233054.0	72127.0	39603.0	3.2680974896
из них домохозяйства, имеющие детей моложе 18 лет	564900.0	2109061.0	51047.0	213191.0	198066.0	65648.0	36948.0	3.73351212604
в том числе домохозяйства:								
с 1 ребенком	355171.0	1164676.0	50488.0	197822.0	74408.0	24689.0	7764.0	3.27919790749
с 2 детьми	174332.0	737035.0	559.0	15208.0	121404.0	23752.0	13409.0	4.22776656036
с 3 и более детьми	35397.0	207350.0		161.0	2254.0	17207.0	15775.0	5.85784105998
в них детей		119008.0		483.0	6853.0	52029.0	59643.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	678313.0	2272236.0	153548.0	242402.0	205894.0	55345.0	21124.0	3.34983407365
из них домохозяйства, имеющие детей моложе 18 лет	422867.0	1624769.0		170045.0	180437.0	51991.0	20394.0	3.8422695552
в том числе домохозяйства:								
с 1 ребенком	254079.0	867337.0		170045.0	66480.0	14736.0	2818.0	3.41365087237
с 2 детьми	141650.0	601870.0			113957.0	21653.0	6040.0	4.24899399929
с 3 и более детьми	27138.0	155562.0				15602.0	11536.0	5.73225735132
в них детей		90240.0				46806.0	43434.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	27390.0	153877.0			4147.0	10194.0	13049.0	5.61799926981
из них домохозяйства, имеющие детей моложе 18 лет	21005.0	125549.0				8392.0	12613.0	5.97710069031
в том числе домохозяйства:								
с 1 ребенком	12589.0	67994.0				8392.0	4197.0	5.40106442132
с 2 детьми	6327.0	40563.0					6327.0	6.41109530583
с 3 и более детьми	2089.0	16992.0					2089.0	8.13403542365
в них детей		7207.0					7207.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	851.0	7227.0					851.0	8.49236192714
из них домохозяйства, имеющие детей моложе 18 лет	756.0	6616.0					756.0	8.75132275132
в том числе домохозяйства:								
с 1 ребенком	212.0	1583.0					212.0	7.46698113208
с 2 детьми	286.0	2384.0					286.0	8.33566433566
с 3 и более детьми	258.0	2649.0					258.0	10.2674418605
в них детей		946.0					946.0	
Домохозяйства, состоящие из матери с детьми	112364.0	265237.0	79002.0	27876.0	4344.0	806.0	336.0	2.36051582357
из них домохозяйства, имеющие детей моложе 18 лет	70647.0	175157.0	43392.0	22242.0	3925.0	763.0	325.0	2.47932679378
в том числе домохозяйства:								
с 1 ребенком	53261.0	117592.0	43392.0	8798.0	965.0	87.0	19.0	2.20784438895
с 2 детьми	14885.0	46355.0		13444.0	1233.0	169.0	39.0	3.11420893517
с 3 и более детьми	2501.0	11210.0			1727.0	507.0	267.0	4.48220711715
в них детей		8221.0			5181.0	1821.0	1219.0	
Домохозяйства, состоящие из отца с детьми	11802.0	27331.0	8881.0	2352.0	421.0	92.0	56.0	2.31579393323
из них домохозяйства, имеющие детей моложе 18 лет	5494.0	13765.0	3424.0	1589.0	344.0	81.0	56.0	2.50546050237
в том числе домохозяйства:								
с 1 ребенком	4247.0	9476.0	3424.0	696.0	106.0	14.0	7.0	2.23122203909
с 2 детьми	1020.0	3233.0		893.0	97.0	20.0	10.0	3.16960784314
с 3 и более детьми	227.0	1056.0			141.0	47.0	39.0	4.65198237885
в них детей		769.0			423.0	160.0	186.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	14311.0	47100.0		10827.0	2949.0	428.0	107.0	3.29117462092
из них домохозяйства, имеющие детей моложе 18 лет	11997.0	39780.0		8861.0	2628.0	404.0	104.0	3.31582895724
в том числе домохозяйства:								
с 1 ребенком	9644.0	29801.0		8861.0	705.0	71.0	7.0	3.09010783907
с 2 детьми	2042.0	8316.0			1923.0	98.0	21.0	4.07247796278
с 3 и более детьми	311.0	1663.0				235.0	76.0	5.34726688103
в них детей		1016.0				705.0	311.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	30391.0	118514.0		12753.0	11482.0	4028.0	2128.0	3.89964134119
из них домохозяйства, имеющие детей моложе 18 лет	23851.0	96101.0		8344.0	9778.0	3726.0	2003.0	4.02922309337
в том числе домохозяйства:								
с 1 ребенком	15296.0	55238.0		8019.0	5689.0	1258.0	330.0	3.6112709205
с 2 детьми	6592.0	29141.0		325.0	3955.0	1738.0	574.0	4.42066140777
с 3 и более детьми	1963.0	11722.0			134.0	730.0	1099.0	5.97147223637
в них детей		6628.0			402.0	2212.0	4014.0	
Прочие домохозяйства	51364.0	137305.0	35627.0	8734.0	3817.0	1234.0	1952.0	2.67317576513
из них домохозяйства, имеющие детей моложе 18 лет	8283.0	27324.0	4231.0	2110.0	954.0	291.0	697.0	3.29880478088
в том числе домохозяйства:								
с 1 ребенком	5843.0	15655.0	3672.0	1403.0	463.0	131.0	174.0	2.67927434537
с 2 детьми	1530.0	5173.0	559.0	546.0	239.0	74.0	112.0	3.38104575163
с 3 и более детьми	910.0	6496.0		161.0	252.0	86.0	411.0	7.13846153846
в них детей		3981.0		483.0	847.0	325.0	2326.0	
Ханты-Мансийский автономный округ - Югра								
Все домохозяйства	405286.0	1350851.0	106513.0	138233.0	109755.0	32991.0	17794.0	3.33308083674
из них домохозяйства, имеющие детей моложе 18 лет	260893.0	972133.0	21777.0	99617.0	93485.0	29811.0	16203.0	3.7261750986
в том числе домохозяйства:								
с 1 ребенком	165031.0	544250.0	21655.0	92988.0	34870.0	11722.0	3796.0	3.29786524956
с 2 детьми	81731.0	346271.0	122.0	6590.0	57749.0	10880.0	6390.0	4.23671556692
с 3 и более детьми	14131.0	81612.0		39.0	866.0	7209.0	6017.0	5.77538744604
в них детей		46081.0		117.0	2625.0	21758.0	21581.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	299391.0	1017711.0	57505.0	111083.0	97152.0	24862.0	8789.0	3.39927051915
из них домохозяйства, имеющие детей моложе 18 лет	198267.0	756105.0		80758.0	85742.0	23351.0	8416.0	3.81356958041
в том числе домохозяйства:								
с 1 ребенком	120231.0	410068.0		80758.0	31294.0	6811.0	1368.0	3.41066779782
с 2 детьми	67230.0	285282.0			54448.0	9959.0	2823.0	4.24337349398
с 3 и более детьми	10806.0	60755.0				6581.0	4225.0	5.62233944105
в них детей		34911.0				19743.0	15168.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	13649.0	76508.0			2098.0	5083.0	6468.0	5.60539233643
из них домохозяйства, имеющие детей моложе 18 лет	10426.0	62226.0				4171.0	6255.0	5.96834835987
в том числе домохозяйства:								
с 1 ребенком	6262.0	33844.0				4171.0	2091.0	5.40466304695
с 2 детьми	3112.0	19932.0					3112.0	6.40488431877
с 3 и более детьми	1052.0	8450.0					1052.0	8.03231939163
в них детей		3540.0					3540.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	456.0	3809.0					456.0	8.35307017544
из них домохозяйства, имеющие детей моложе 18 лет	403.0	3479.0					403.0	8.63275434243
в том числе домохозяйства:								
с 1 ребенком	114.0	844.0					114.0	7.40350877193
с 2 детьми	157.0	1303.0					157.0	8.29936305732
с 3 и более детьми	132.0	1332.0					132.0	10.0909090909
