7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
2 человек	124879.0	93420.0	28821.0	33598.0	31001.0	100913.0	31459.0
3 человек	80308.0	63087.0	27299.0	27477.0	8311.0	27975.0	17221.0
4 человек	38001.0	27177.0	18428.0	6268.0	2481.0	8698.0	10824.0
5 и более человек	11374.0	5494.0	3111.0	1418.0	965.0	3554.0	5880.0
в них занятых	63631.0	29197.0	16358.0	7557.0	5282.0		34434.0
Домохозяйства, в которых есть занятые	2946177.0	1503182.0	979626.0	412275.0	111281.0	362460.0	1442995.0
в них членов домохозяйств	9581667.0	5475099.0	3236287.0	1669309.0	569503.0		4106568.0
Домохозяйства, в которых нет занятых	648674.0	170003.0	110813.0	41158.0	18032.0	62274.0	478671.0
в них членов домохозяйств	1587206.0	512655.0	300363.0	131675.0	80617.0		1074551.0
Курганская область							
Все домохозяйства	301749.0	100521.0	75306.0	20304.0	4911.0	15969.0	201228.0
в них членов домохозяйств	919180.0	358033.0	252323.0	81233.0	24477.0		561147.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	118118.0	16098.0	15246.0	852.0			102020.0
из них имеют занятых							
1 человека	38228.0	9071.0	9071.0				29157.0
2 человек	22373.0						22373.0
3 человек	92884.0	37453.0	31578.0	5529.0	346.0	1038.0	55431.0
из них имеют занятых							
1 человека	33495.0	16893.0	12743.0	4150.0			16602.0
2 человек	39738.0	14240.0	14240.0				25498.0
3 человек	5463.0						5463.0
4 человек	62780.0	30421.0	19295.0	9235.0	1891.0	5810.0	32359.0
из них имеют занятых							
1 человека	19272.0	11347.0	7144.0	2777.0	1426.0	4278.0	7925.0
2 человек	29028.0	12801.0	7426.0	5375.0			16227.0
3 человек	6850.0	2782.0	2782.0				4068.0
4 человек	1099.0						1099.0
5 и более человек	27967.0	16549.0	9187.0	4688.0	2674.0	9121.0	11418.0
в них членов домохозяйств	153172.0	91794.0	49917.0	26002.0	15875.0		61378.0
из них имеют занятых							
1 человека	7636.0	4903.0	2625.0	1258.0	1020.0	3554.0	2733.0
2 человек	9788.0	5504.0	2883.0	1761.0	860.0	2800.0	4284.0
3 человек	4743.0	2950.0	1877.0	887.0	186.0	618.0	1793.0
4 человек	1822.0	953.0	740.0	161.0	52.0	179.0	869.0
5 и более человек	384.0	163.0	113.0	30.0	20.0	66.0	221.0
в них занятых	1979.0	840.0	582.0	154.0	104.0		1139.0
Домохозяйства, в которых есть занятые	219919.0	81607.0	61644.0	16399.0	3564.0	11495.0	138312.0
в них членов домохозяйств	715360.0	299455.0	213245.0	67773.0	18437.0		415905.0
Домохозяйства, в которых нет занятых	81830.0	18914.0	13662.0	3905.0	1347.0	4474.0	62916.0
в них членов домохозяйств	203820.0	58578.0	39078.0	13460.0	6040.0		145242.0
Свердловская область							
Все домохозяйства	1313059.0	572226.0	390049.0	146756.0	35421.0	115354.0	740833.0
в них членов домохозяйств	3977421.0	2016332.0	1256575.0	582222.0	177535.0		1961089.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	511667.0	86797.0	82650.0	4147.0			424870.0
из них имеют занятых							
1 человека	198423.0	61992.0	61992.0				136431.0
2 человек	126982.0						126982.0
3 человек	418377.0	223112.0	184721.0	36861.0	1530.0	4590.0	195265.0
из них имеют занятых							
1 человека	131857.0	80381.0	48459.0	31922.0			51476.0
2 человек	209371.0	123782.0	123782.0				85589.0
3 человек	40366.0						40366.0
4 человек	272060.0	180776.0	88834.0	77934.0	14008.0	42578.0	91284.0
из них имеют занятых							
1 человека	60231.0	45661.0	18024.0	15592.0	12045.0	36135.0	14570.0
2 человек	139342.0	96977.0	37838.0	59139.0			42365.0
3 человек	48462.0	29457.0	29457.0				19005.0
4 человек	10566.0						10566.0
5 и более человек	110955.0	81541.0	33844.0	27814.0	19883.0	68186.0	29414.0
в них членов домохозяйств	610716.0	450298.0	181776.0	151609.0	116913.0		160418.0
из них имеют занятых							
1 человека	19950.0	15541.0	4853.0	4306.0	6382.0	22894.0	4409.0
2 человек	40217.0	29873.0	9758.0	11559.0	8556.0	27640.0	10344.0
3 человек	27181.0	20782.0	10132.0	8428.0	2222.0	7451.0	6399.0
4 человек	13537.0	9300.0	6639.0	1939.0	722.0	2526.0	4237.0
5 и более человек	3846.0	1872.0	1085.0	472.0	315.0	1182.0	1974.0
в них занятых	20947.0	9958.0	5722.0	2512.0	1724.0		10989.0
Домохозяйства, в которых есть занятые	1070331.0	515618.0	352019.0	133357.0	30242.0	97828.0	554713.0
в них членов домохозяйств	3404539.0	1851558.0	1156146.0	540181.0	155231.0		1552981.0
Домохозяйства, в которых нет занятых	242728.0	56608.0	38030.0	13399.0	5179.0	17526.0	186120.0
в них членов домохозяйств	572882.0	164774.0	100429.0	42041.0	22304.0		408108.0
Тюменская область							
Все домохозяйства	926786.0	542575.0	316293.0	168761.0	57521.0	190925.0	384211.0
в них членов домохозяйств	3028827.0	1977757.0	1014765.0	670513.0	292479.0		1051070.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	277058.0	66449.0	63158.0	3291.0			210609.0
из них имеют занятых							
1 человека	108457.0	50812.0	50812.0				57645.0
2 человек	89994.0						89994.0
3 человек	304944.0	204865.0	161838.0	41649.0	1378.0	4134.0	100079.0
из них имеют занятых							
1 человека	92942.0	69679.0	31859.0	37820.0			23263.0
2 человек	162373.0	122102.0	122102.0				40271.0
3 человек	25442.0						25442.0
4 человек	233054.0	181266.0	64654.0	93896.0	22716.0	68596.0	51788.0
из них имеют занятых							
1 человека	56405.0	47618.0	11912.0	14832.0	20874.0	62622.0	8787.0
2 человек	123419.0	101847.0	25357.0	76490.0			21572.0
3 человек	33922.0	24769.0	24769.0				9153.0
4 человек	7599.0						7599.0
5 и более человек	111730.0	89995.0	26643.0	29925.0	33427.0	118195.0	21735.0
в них членов домохозяйств	627663.0	505200.0	144319.0	163400.0	197481.0		122463.0
из них имеют занятых							
1 человека	22099.0	18302.0	4086.0	3674.0	10542.0	40000.0	3797.0
2 человек	39213.0	32269.0	6775.0	10662.0	14832.0	48712.0	6944.0
3 человек	25742.0	22331.0	7030.0	11227.0	4074.0	13838.0	3411.0
4 человек	12364.0	10086.0	6211.0	2671.0	1204.0	4257.0	2278.0
5 и более человек	4758.0	2193.0	1165.0	585.0	443.0	1595.0	2565.0
в них занятых	28111.0	11803.0	6216.0	3166.0	2421.0		16308.0
Домохозяйства, в которых есть занятые	804729.0	502008.0	292078.0	157961.0	51969.0	171024.0	302721.0
в них членов домохозяйств	2706707.0	1849655.0	948113.0	635784.0	265758.0		857052.0
Домохозяйства, в которых нет занятых	122057.0	40567.0	24215.0	10800.0	5552.0	19901.0	81490.0
в них членов домохозяйств	322120.0	128102.0	66652.0	34729.0	26721.0		194018.0
Ханты-Мансийский автономный округ - Югра							
Все домохозяйства	405286.0	266975.0	147693.0	87959.0	31323.0	103222.0	138311.0
в них членов домохозяйств	1350851.0	977909.0	470607.0	349933.0	157369.0		372942.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	106513.0	28734.0	27845.0	889.0			77779.0
из них имеют занятых							
1 человека	44640.0	24051.0	24051.0				20589.0
2 человек	42706.0						42706.0
3 человек	138233.0	101437.0	79497.0	21461.0	479.0	1437.0	36796.0
из них имеют занятых							
1 человека	39664.0	32875.0	12872.0	20003.0			6789.0
2 человек	78782.0	64325.0	64325.0				14457.0
3 человек	12792.0						12792.0
4 человек	109755.0	92530.0	29335.0	50460.0	12735.0	38412.0	17225.0
из них имеют занятых							
1 человека	24493.0	22591.0	3798.0	6912.0	11881.0	35643.0	1902.0
2 человек	60048.0	53885.0	11268.0	42617.0			6163.0
3 человек	17323.0	13618.0	13618.0				3705.0
4 человек	4235.0						4235.0
5 и более человек	50785.0	44274.0	11016.0	15149.0	18109.0	63373.0	6511.0
в них членов домохозяйств	284106.0	246010.0	59086.0	81932.0	104992.0		38096.0
из них имеют занятых							
1 человека	8547.0	7841.0	1008.0	1319.0	5514.0	21002.0	706.0
2 человек	17429.0	15890.0	2383.0	5157.0	8350.0	27357.0	1539.0
3 человек	13284.0	12229.0	3294.0	6487.0	2448.0	8326.0	1055.0
4 человек	6655.0	5778.0	3408.0	1606.0	764.0	2699.0	877.0
5 и более человек	3039.0	1299.0	696.0	343.0	260.0	917.0	1740.0
в них занятых	18818.0	7064.0	3763.0	1890.0	1411.0		11754.0
Домохозяйства, в которых есть занятые	373637.0	254382.0	140721.0	84444.0	29217.0	95944.0	119255.0
в них членов домохозяйств	1266264.0	939061.0	452221.0	338736.0	148104.0		327203.0
Домохозяйства, в которых нет занятых	31649.0	12593.0	6972.0	3515.0	2106.0	7278.0	19056.0
в них членов домохозяйств	84587.0	38848.0	18386.0	11197.0	9265.0		45739.0
Ямало-Ненецкий автономный округ							
Все домохозяйства	143837.0	97111.0	55133.0	31773.0	10205.0	33742.0	46726.0
в них членов домохозяйств	474585.0	350535.0	172682.0	126008.0	51845.0		124050.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	39205.0	10994.0	10718.0	276.0			28211.0
из них имеют занятых							
1 человека	15969.0	9489.0	9489.0				6480.0
2 человек	18647.0						18647.0
3 человек	51175.0	39796.0	31902.0	7730.0	164.0	492.0	11379.0
из них имеют занятых							
1 человека	13276.0	11466.0	4228.0	7238.0			1810.0
2 человек	30794.0	26957.0	26957.0				3837.0
3 человек	4823.0						4823.0
4 человек	36313.0	31799.0	8952.0	18934.0	3913.0	11793.0	4514.0
из них имеют занятых							
1 человека	7499.0	6934.0	949.0	2301.0	3684.0	11052.0	565.0
2 человек	20957.0	19583.0	3200.0	16383.0			1374.0
3 человек	5443.0	4594.0	4594.0				849.0
4 человек	1260.0						1260.0
5 и более человек	17144.0	14522.0	3561.0	4833.0	6128.0	21457.0	2622.0
в них членов домохозяйств	97398.0	81963.0	19732.0	26530.0	35701.0		15435.0
из них имеют занятых							
1 человека	3080.0	2696.0	486.0	442.0	1768.0	6801.0	384.0
2 человек	6300.0	5400.0	789.0	1585.0	3026.0	9928.0	900.0
3 человек	3974.0	3650.0	830.0	2080.0	740.0	2511.0	324.0
4 человек	2024.0	1785.0	1095.0	487.0	203.0	684.0	239.0
5 и более человек	728.0	361.0	174.0	114.0	73.0	255.0	367.0
в них занятых	4054.0	1954.0	940.0	613.0	401.0		2100.0
Домохозяйства, в которых есть занятые	134774.0	92915.0	52791.0	30630.0	9494.0	31231.0	41859.0
в них членов домохозяйств	447556.0	336700.0	166073.0	122204.0	48423.0		110856.0
Домохозяйства, в которых нет занятых	9063.0	4196.0	2342.0	1143.0	711.0	2511.0	4867.0
в них членов домохозяйств	27029.0	13835.0	6609.0	3804.0	3422.0		13194.0
Челябинская область							
Все домохозяйства	1053257.0	457863.0	308791.0	117612.0	31460.0	102486.0	595394.0
в них членов домохозяйств	3243445.0	1635632.0	1012987.0	467016.0	155629.0		1607813.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	393791.0	67943.0	63901.0	4042.0			325848.0
из них имеют занятых							
1 человека	151879.0	45470.0	45470.0				106409.0
2 человек	92224.0						92224.0
3 человек	327868.0	169441.0	137243.0	30415.0	1783.0	5349.0	158427.0
из них имеют занятых							
1 человека	110476.0	67334.0	41609.0	25725.0			43142.0
2 человек	157270.0	84579.0	84579.0				72691.0
3 человек	28422.0						28422.0
4 человек	233162.0	148599.0	76549.0	59118.0	12932.0	39602.0	84563.0
из них имеют занятых							
1 человека	59106.0	44046.0	20135.0	13291.0	10620.0	31860.0	15060.0
2 человек	116857.0	75070.0	32265.0	42805.0			41787.0
3 человек	36074.0	20393.0	20393.0				15681.0
4 человек	7321.0						7321.0
5 и более человек	98436.0	71880.0	31098.0	24037.0	16745.0	57535.0	26556.0
в них членов домохозяйств	539611.0	397027.0	167260.0	131215.0	98552.0		142584.0
из них имеют занятых							
1 человека	20602.0	16155.0	6183.0	4358.0	5614.0	19977.0	4447.0
2 человек	35661.0	25774.0	9405.0	9616.0	6753.0	21761.0	9887.0
3 человек	22642.0	17024.0	8260.0	6935.0	1829.0	6068.0	5618.0
4 человек	10278.0	6838.0	4838.0	1497.0	503.0	1736.0	3440.0
