1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В МЕСТЕ								
ПОСТОЯННОГО ЖИТЕЛЬСТВА ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	в том числе население в возрасте			Возраст не указан	Из общей численности – население в возрасте, в процентах		
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	8988234.0	1915995.0	4887154.0	2184019.0	1066.0	21.3167013676	54.3727944778	24.2986442053
с рождения	5896798.0	1639683.0	2846376.0	1410216.0	523.0	27.8063281123	48.2698576414	23.9149450261
не с рождения	3089267.0	275646.0	2039919.0	773513.0	189.0	8.92269913866	66.0324601273	25.0387227779
в том числе:								
с 1992-2002 года	1201432.0	226256.0	809025.0	166099.0	52.0	18.8321935823	67.3383928512	13.8250853981
с 1989-1991 года	288068.0	33291.0	220282.0	34464.0	31.0	11.5566463474	76.4687504339	11.9638418707
с 1988 года и ранее	1576344.0	11452.0	998919.0	565872.0	101.0	0.726491171978	63.3693533899	35.8977482072
год не указан	23423.0	4647.0	11693.0	7078.0	5.0	19.8394740213	49.921017803	30.218161636
не указавшие непрерывность проживания в месте постоянного жительства	2169.0	666.0	859.0	290.0	354.0	30.7053941909	39.6035039189	13.3702166897
Мужчины, проживающие непрерывно в месте постоянного жительства	4242284.0	978651.0	2565969.0	697156.0	508.0	23.0689647369	60.4855544796	16.4335061019
с рождения	2886659.0	837797.0	1594019.0	454616.0	227.0	29.0230678442	55.2202043955	15.7488639981
не с рождения	1354532.0	140511.0	971501.0	242454.0	66.0	10.3733983398	71.7222627446	17.899466384
в том числе:								
с 1992-2002 года	563342.0	115024.0	393841.0	54442.0	35.0	20.4181474131	69.9115279883	9.66411167639
с 1989-1991 года	131753.0	17246.0	102198.0	12304.0	5.0	13.0896450176	77.5678732173	9.33868678512
с 1988 года и ранее	649303.0	5917.0	469775.0	173585.0	26.0	0.911284870084	72.3506590914	26.7340517447
год не указан	10134.0	2324.0	5687.0	2123.0	-	22.9327017959	56.1180185514	20.9492796527
не указавшие непрерывность проживания в месте постоянного жительства	1093.0	343.0	449.0	86.0	215.0	31.3815187557	41.0795974382	7.86825251601
Женщины, проживающие непрерывно в месте постоянного жительства	4745950.0	937344.0	2321185.0	1486863.0	558.0	19.7503977075	48.9087537795	31.3290911198
с рождения	3010139.0	801886.0	1252357.0	955600.0	296.0	26.6395007008	41.6046235739	31.7460422924
не с рождения	1734735.0	135135.0	1068418.0	531059.0	123.0	7.78995062646	61.589695256	30.6132636973
в том числе:								
с 1992-2002 года	638090.0	111232.0	415184.0	111657.0	17.0	17.4320236957	65.0666833832	17.4986287201
с 1989-1991 года	156315.0	16045.0	118084.0	22160.0	26.0	10.2645299555	75.5423343889	14.1765025749
с 1988 года и ранее	927041.0	5535.0	529144.0	392287.0	75.0	0.597060971413	57.0788131269	42.3160356446
год не указан	13289.0	2323.0	6006.0	4955.0	5.0	17.4806230717	45.195274287	37.2864775378
не указавшие непрерывность проживания в месте постоянного жительства	1076.0	323.0	410.0	204.0	139.0	30.0185873606	38.1040892193	18.9591078067
Республика Башкортостан								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	4066649.0	866307.0	2409693.0	789860.0	789.0	21.3027236922	59.2550033209	19.4228712633
с рождения	2517121.0	754012.0	1390939.0	371851.0	319.0	29.9553338914	55.2591234192	14.7728694806
не с рождения	1546699.0	111878.0	1017088.0	417605.0	128.0	7.23334016509	65.7586253046	26.9997588412
в том числе:								
с 1992-2002 года	506178.0	92056.0	373255.0	40824.0	43.0	18.1864877573	73.7398701643	8.06514704314
с 1989-1991 года	108061.0	13628.0	85235.0	9198.0	-	12.6113954156	78.8767455419	8.51185904258
с 1988 года и ранее	929810.0	5643.0	557040.0	367046.0	81.0	0.6068981835	59.9090136695	39.4753766899
год не указан	2650.0	551.0	1558.0	537.0	4.0	20.7924528302	58.7924528302	20.2641509434
не указавшие непрерывность проживания в месте постоянного жительства	2829.0	417.0	1666.0	404.0	342.0	14.7401908802	58.8900671615	14.2806645458
Мужчины, проживающие непрерывно в месте постоянного жительства	1892357.0	440698.0	1192666.0	258634.0	359.0	23.2883118777	63.0254227928	13.667294279
с рождения	1235111.0	383779.0	725643.0	125552.0	137.0	31.0724299274	58.751237743	10.1652402092
не с рождения	655896.0	56712.0	466184.0	132944.0	56.0	8.64649273665	71.0759022772	20.2690670472
в том числе:								
с 1992-2002 года	229426.0	46523.0	170185.0	12694.0	24.0	20.2779981345	74.1786022508	5.53293872534
с 1989-1991 года	48890.0	6925.0	38863.0	3102.0	-	14.1644508079	79.4906933933	6.34485579873
с 1988 года и ранее	376332.0	2974.0	256356.0	116970.0	32.0	0.790259664339	68.1196390421	31.0815981633
год не указан	1248.0	290.0	780.0	178.0	-	23.2371794872	62.5	14.2628205128
не указавшие непрерывность проживания в месте постоянного жительства	1350.0	207.0	839.0	138.0	166.0	15.3333333333	62.1481481481	10.2222222222
Женщины, проживающие непрерывно в месте постоянного жительства	2174292.0	425609.0	1217027.0	531226.0	430.0	19.5746017554	55.9734847021	24.4321369899
с рождения	1282010.0	370233.0	665296.0	246299.0	182.0	28.8791039071	51.8947590112	19.2119406245
не с рождения	890803.0	55166.0	550904.0	284661.0	72.0	6.19283949425	61.8435276936	31.9555502171
в том числе:								
с 1992-2002 года	276752.0	45533.0	203070.0	28130.0	19.0	16.4526362953	73.3761634966	10.1643348558
с 1989-1991 года	59171.0	6703.0	46372.0	6096.0	-	11.3281844147	78.3694715317	10.3023440537
с 1988 года и ранее	553478.0	2669.0	300684.0	250076.0	49.0	0.482223322336	54.3262785513	45.1826450193
год не указан	1402.0	261.0	778.0	359.0	4.0	18.6162624822	55.4921540656	25.6062767475
не указавшие непрерывность проживания в месте постоянного жительства	1479.0	210.0	827.0	266.0	176.0	14.1987829615	55.9161595673	17.9851250845
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	2592909.0	509756.0	1621895.0	460634.0	624.0	19.6596178269	62.551173219	17.7651433197
с рождения	1472906.0	444163.0	889250.0	139281.0	212.0	30.1555564306	60.3738459888	9.45620426558
не с рождения	1117297.0	65197.0	731027.0	320966.0	107.0	5.83524344915	65.4281717395	28.7270081277
в том числе:								
с 1992-2002 года	316961.0	53104.0	242525.0	21303.0	29.0	16.7541117046	76.5157227545	6.72101615025
с 1989-1991 года	65870.0	7940.0	52593.0	5337.0	-	12.0540458479	79.8436313952	8.10232275695
с 1988 года и ранее	732215.0	3752.0	434540.0	293849.0	74.0	0.512417800783	59.3459571301	40.1315187479
год не указан	2251.0	401.0	1369.0	477.0	4.0	17.8143047534	60.8174144825	21.1905819636
не указавшие непрерывность проживания в месте постоянного жительства	2706.0	396.0	1618.0	387.0	305.0	14.6341463415	59.793052476	14.3015521064
Мужчины, проживающие непрерывно в месте постоянного жительства	1183224.0	259193.0	777164.0	146579.0	288.0	21.9056577622	65.6818996234	12.3881023373
с рождения	708288.0	225949.0	440045.0	42202.0	92.0	31.9007239993	62.1279761905	5.95831074365
не с рождения	473641.0	33047.0	336303.0	104248.0	43.0	6.97722536689	71.0037771223	22.0099189048
в том числе:								
с 1992-2002 года	142897.0	26801.0	110034.0	6051.0	11.0	18.7554672246	77.0023163537	4.23451856932
с 1989-1991 года	29857.0	4030.0	24114.0	1713.0	-	13.4976722377	80.7649797367	5.73734802559
с 1988 года и ранее	299820.0	2003.0	201459.0	96326.0	32.0	0.668067507171	67.1933159896	32.1279434327
год не указан	1067.0	213.0	696.0	158.0	-	19.9625117151	65.2296157451	14.8078725398
не указавшие непрерывность проживания в месте постоянного жительства	1295.0	197.0	816.0	129.0	153.0	15.2123552124	63.0115830116	9.96138996139
Женщины, проживающие непрерывно в месте постоянного жительства	1409685.0	250563.0	844731.0	314055.0	336.0	17.7743964077	59.9233871397	22.2783813405
с рождения	764618.0	218214.0	449205.0	97079.0	120.0	28.5389567078	58.7489439171	12.6964052638
не с рождения	643656.0	32150.0	394724.0	216718.0	64.0	4.99490411027	61.3253041998	33.6698484905
в том числе:								
с 1992-2002 года	174064.0	26303.0	132491.0	15252.0	18.0	15.1111085578	76.1162560897	8.76229432852
с 1989-1991 года	36013.0	3910.0	28479.0	3624.0	-	10.857190459	79.0797767473	10.0630327937
с 1988 года и ранее	432395.0	1749.0	233081.0	197523.0	42.0	0.404491263775	53.904647371	45.6811480244
год не указан	1184.0	188.0	673.0	319.0	4.0	15.8783783784	56.8412162162	26.9425675676
не указавшие непрерывность проживания в месте постоянного жительства	1411.0	199.0	802.0	258.0	152.0	14.1034727144	56.8391211906	18.2849043232
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1473740.0	356551.0	787798.0	329226.0	165.0	24.1936162417	53.4556977486	22.339490005
с рождения	1044215.0	309849.0	501689.0	232570.0	107.0	29.6729121876	48.0446076718	22.2722332087
не с рождения	429402.0	46681.0	286061.0	96639.0	21.0	10.8711650155	66.618460091	22.5054843713
в том числе:								
с 1992-2002 года	189217.0	38952.0	130730.0	19521.0	14.0	20.5858881602	69.0899866291	10.3167262984
с 1989-1991 года	42191.0	5688.0	32642.0	3861.0	-	13.4815481975	77.3672110166	9.15124078595
с 1988 года и ранее	197595.0	1891.0	122500.0	73197.0	7.0	0.957008021458	61.9954958374	37.0439535413
год не указан	399.0	150.0	189.0	60.0	-	37.5939849624	47.3684210526	15.037593985
не указавшие непрерывность проживания в месте постоянного жительства	123.0	21.0	48.0	17.0	37.0	17.0731707317	39.0243902439	13.8211382114
Мужчины, проживающие непрерывно в месте постоянного жительства	709133.0	181505.0	415502.0	112055.0	71.0	25.5953396612	58.5929578796	15.801690233
с рождения	526823.0	157830.0	285598.0	83350.0	45.0	29.9588286768	54.2113764965	15.8212530584
не с рождения	182255.0	23665.0	129881.0	28696.0	13.0	12.9845546076	71.2633398261	15.7449727031
в том числе:								
с 1992-2002 года	86529.0	19722.0	60151.0	6643.0	13.0	22.7923586312	69.5154225751	7.67719492887
с 1989-1991 года	19033.0	2895.0	14749.0	1389.0	-	15.2104240004	77.4917248989	7.29785110072
с 1988 года и ранее	76512.0	971.0	54897.0	20644.0	-	1.26908197407	71.7495294856	26.9813885404
год не указан	181.0	77.0	84.0	20.0	-	42.5414364641	46.408839779	11.0497237569
не указавшие непрерывность проживания в месте постоянного жительства	55.0	10.0	23.0	9.0	13.0	18.1818181818	41.8181818182	16.3636363636
Женщины, проживающие непрерывно в месте постоянного жительства	764607.0	175046.0	372296.0	217171.0	94.0	22.8935910867	48.6911576797	28.4029573363
с рождения	517392.0	152019.0	216091.0	149220.0	62.0	29.3817840245	41.7654312398	28.8408015586
не с рождения	247147.0	23016.0	156180.0	67943.0	8.0	9.3126762615	63.1931603459	27.4909264527
в том числе:								
с 1992-2002 года	102688.0	19230.0	70579.0	12878.0	1.0	18.7266282331	68.7314973512	12.5409005921
с 1989-1991 года	23158.0	2793.0	17893.0	2472.0	-	12.0606269972	77.2648760687	10.6744969341
с 1988 года и ранее	121083.0	920.0	67603.0	52553.0	7.0	0.759809386949	55.8319499847	43.40245947
год не указан	218.0	73.0	105.0	40.0	-	33.4862385321	48.1651376147	18.3486238532
не указавшие непрерывность проживания в месте постоянного жительства	68.0	11.0	25.0	8.0	24.0	16.1764705882	36.7647058824	11.7647058824
Республика Марий Эл								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	717938.0	141642.0	441220.0	134962.0	114.0	19.7290016687	61.4565603158	18.7985592071
